,restaurant,review_text
58,Cháo Bột - Cháo Dinh Dưỡng Tân Mai - Hồ Văn Thể,"Hàng cháo cô Hoàng bán hơn 40 năm ở Bùi Thái rồi. Hồi xưa cô còn ngồi ở chợ cũ gần cầu cơ. Sau này người ta mở nhà lồng chợ là cô chuyển vào đó luôn. Cháo ngon lắm nha mọi người, nhuyễn, dẻo, thơm, beo béo. Thịt mềmmmmmm ngon."
59,Bánh Cuốn Nóng - Chân Cầu Lò Gốm,"Mình cũng hay đi học về qua đoạn đường này. Tầm 6,7h tối thấy rất đông người. Hôm nọ cũng bu vào xem, thì ra là bán bánh cuốn của một cô, nghe nói có tiếng trong khu.
Một hộp chỉ 15k, thêm nhiều chả là 20k. Cổ làm chả nên có bán chả ko."
60,Bingo - Cơm Dương Châu Gà Xối Mỡ,"Các***đừng cười e nhé, quán này cơm ngon"
61,Lòng Nướng 2 Bà Già - Ngã 5 Coopmart Ngô Quyền,"Dạo này lòng nướng hình như ướp theo cách khác :(( cảm thấy lòng không được ngon như trước nữa nên mình cũng hơi chán. Quán bà giá là quán đầu tiên mình ăn món lòng nướng, là quán ngày trước mình thường xuyên đóng họ. Phong độ quán ngày càng đi xuống, cảm giác giờ lòng quán chú Tuấn còn ngon hơn 2 bà giá ý :3 mặc dù bên quán chú tuấn không có nước chấm thần thánh như bên này nhưng hiện tại cho đến thời điểm này mình ưng lòng ở quán chú tuấn hơn :)) về giá cả thì 2 quán bán như nhau, đồ ăn bên quán chú Tuấn đa dạng hơn. Mong 2 bà già sẽ khắc phục lại :(("
62,Dookki Việt Nam - Lẩu & Buffet Tokpokki - Crescent Mall,Dookki Dookki Crescent Mall
63,Ghita Cafe,Quán có không gian rộng rãi mát mẻ. Có nhiều khu vực khác nhau. Có khu vui chơi trẻ em. Nhà vệ sinh sạch sẽ. Nhân viên thân thiện nhiệt tình.
64,Hà Béo - Ăn Đêm Hà Nội Online,"Đây là lần đầu tiên mình gọi đồ ăn bên này, vì đọc review thấy toàn là khen. Mạnh dạn gọi 1 phần tokbokki xào hải sản 😁 
Điểm cộng:
- Giao nhanh ( 30p sau khi order )
- Lúc nhận được, hộp đóng gói sạch sẽ, hộp nhựa lót giấy bạc, đồ ăn còn nóng hổi, có đủ giấy ướt, đũa và thìa
- Bánh gạo và sốt nhiều, gia vị nêm nếm vừa ăn
Điểm trừ:
- Khi thấy món này trong mục đồ Nhật, Hàn thì khá hi vọng nó giống vị tok mà mình vẫn hay ăn nhưng nó khác hẳn 😭 nó có vị giống như là mì xào, khác là thay tok.
- Là tok xào hải sản và có giá 60k nhưng chỉ có đúng 2 con tôm nhỏ, 1 cái đầu mực bé xíu và 1 khoanh mực, còn lại là cá viên thì phải ( loại xiên chiên bán cổng trường ) và 1/4 quả trứng, không có cả miếng chả mực thường thấy trong tok
- Vô cùng nhiều tỏi và ớt chuông xanh đỏ nên không thấy vị gì khác
* Mình biết là mình quên không note lại nhưng có 1 điểm nhỏ đó là hôm nay là mùng 1 mà shop vẫn cho mực vào đồ ăn thì mình thấy không nên lắm 😑
* Kết lại: no thì có no nhưng vị thì không hợp khẩu vị của mình. Nếu có lần sau chắc mình sẽ thử những món có nhiều người khen."
65,GAXEO Chicken - Beer & BBQ - SC VivoCity,Không hài lòng về quán ăn này. Sẽ không quay trở lại vì thấy thái độ nhân viên không hài lòng được. Chủ nhà hàng nên xem lại nếu không muốn bị đóng cửa sớm
66,Min Chef - Trà Sữa - Mậu Thân,"Đặt hàng trên now.vn lúc 9h15, giao hàng lúc 9h35
Mình yêu cầu không để topping và đá: trà sữa matcha được khoảng 180ml
Bỏ thêm topping thì được khoảng 335ml"
67,Bà Ba - Bún Riêu Cua,"Bún riêu 20k có chả cá ngon, ít dầu mỡ nên không ngán, nhìn tô vậy chứ ăn no căng. Sạch sẽ, chủ quán thân thiện. Mình ghé buổi sáng 7h kém vắng khách ngồi thoải mái. Sẽ quay lại 😊"
68,Black Pearl Bar - Ngọc Trai Đen,"Bar rất đông vui, menu đa dạng, ca sỹ rất sung vag hát tốt có Anh có Việt, ban nhạc và Dj thay phiên nhau khuấy động khách, hát theo yêu cầu và có cho khách hát nữa. Mình thấy có 1 nam và 4 nữ ca sĩ, mỗi người 1 style riềg rất chất. Phục vụ nhanh nhẹn tận tình vui vẻ, đi xả stress tốt ^^"
69,Bò King - Bít Tết & Hamburger,"Hôm nay mình và bạn vô tình đến quán ăn vào buổi tối và có gọi 2 suất bò bít tết việt ăn thử và có chút cảm nhận như sau: 
- Địa điểm quán: Nằm ở vị trí khá đẹp, dễ tìm nhưng quán hơi bé và vắng khách.
- Phong cách phục vụ: Chưa tốt, thái độ nhân viên thiếu niềm nở
- Đồ ăn: Thịt bò đầy đặn, nước sốt vừa miệng, bánh mỳ giòn ngon.
- Giá cả: Hơi cao so với mặt bằng chung
Tổng kết: 6/10"
70,Lâm Kiều Cafe,"Quán cafe nằm ngay trung tâm thuận tiện đi lại! Cafe khá ngon, không gian sân vườn nhưng ko đặc sắc, có phòng trà nhưng bàn ghế cũ! Nhân viên ổn"
71,Ngọc Hằng - Bia Hơi Hà Nội,"Quán bia hơi luôn luôn đông đúc vào buổi trưa lẫn buổi tối!
Hôm bữa qua đây nhậu cùng mấy bạn buổi trưa, qua cũng hơi quá giờ ăn xíu mà vẫn đông ơi đông! Thế là chui tận sâu gác hai ngồi góc nhỏ xíu để uống.
Bia với đồ ăn đây ưu điểm là ngon mà giá mềm, đi 6 người cả ăn cả uống có tầm 300k. À nhưng mình ăn mấy món đơn giản chứ không gọi nhiều món đặc biệt. 
Chỗ này mình đến cùng bạn thôi chứ không khoái không gian lắm, hơi ồn ào với mùi khói thuốc ^^. Được cái mấy anh nhân viên hay phết, cơ mà đông nên chờ đồ cũng lâu, mồi hết mấy cốc bia mới có đồ ăn à :v"
72,Cacao Ơi - Cửa Tiệm Sô.Cô.La - Phan Bội Châu,Kem và cacao ngon lắm
73,Đan Nhi - Bún Chả Cá Quy Nhơn,"Chả ram tôm đất chiên sẵn 50k/phần kèm rau, nước chấm đầy đủ"
74,Kiseki - Lẩu Nướng Tự Chọn - Lê Lai,"Quán lẩu Kiseki ở đường Lê Lai, từ quán rau má đậu bạn chạy vô chút xíu sẽ nhìn thấy. Bên ngoài nhìn quán hơi âm u không mấy ấn tượng nhưng vào bên trong thì cũng khá đẹp, nhất là đường đi lên quán, được trang trí bằng cây xanh giả nhưng nhìn mát mẻ và sáng sủa lắm. Không gian quán rộng, có nhiều dãy bàn, ăn lẩu trong phòng máy lạnh nên cũng mát mẻ chứ không bị ngộp. Về món lẩu thì mình thấy tạm được, không đặc biệt lắm. Mọi thứ ngoài món bạn gọi ban đầu đều phải tính tiền thêm, cái này thì mình ok nhưng nước lẩu xin thêm cũng bị tính tiền thì mình không ưng lắm."
75,Lẩu Bò 69 - Lê Hồng Phong,"✨Woahhh được dịp ra Vũng Tàu thấy có quán lẩu bò khá nổi tiếng này nè. Có 2 chi nhánh lận, đây là chi nhánh 2 Lê Hồng Phong. Ở đây 10h sáng mới hoạt động nha. Hôm mình đi kêu 1 phần Hấp nhỏ là 60k, 2 phần mì gói là 8k, nạm nhỏ 60k, Lẩu vừa 150. Bò mềm đúng chuẩn luôn, ăn vừa miệng. À tại mình ko thích ăn hành với gừng nên lâu lâu cứ phải gắp ra hơi khó chịu thôi chứ ăn ở đây thấy ổn nha. Giá như vầy cũng được rồi á. Kêu thêm mấy chai Tiger gía 15k/chai. Nhân viên nhanh nhẹn phục vụ tốt. Mình đi buổi tối mặc dù khá đông khách nhưng nhân viên vẫn làm nhanh lắm

👉Follow IG @myanhnguyenthi để xem thêm nhiều review các địa điểm ăn uống tại Vietban nha 📍"
76,Quán Nhậu Tới Bến - Các Món Nướng Và Lẩu,"Quán Bia Sệt -Tới Bến Nha Trang làm đồ ăn ngon, đậm đà, có thể giao tiếp trực tiếp với đầu bếp nếu thích món ăn làm theo ý thích của riêng mình, đồ ăn ra cũng rất nhanh, phục vụ thì cũng bình thường không ấn tượng lắm, quán ăn mà, đâu phải 5 sao 6 sao gì đâu mà phàn nàn, tuy nhiên nói chi tiết để ai muốn tìm địa điểm ăn uống, nhậu nhẹt khi ra Nha Trang thì đến Bia Sệt -Tới Bến Nha Trang chơi, ngắm đường xá xe chạy thì không còn gì bằng. nhậu nhậu bình dân hài sản tươi sống Nha Trang Bia Sệt Tới Bến Bia Sệt Nha Trang Bia Sệt Tới Bến Nha Trang"
77,Skylight Nha Trang,"Tòa nhà có vị trí nhìn ngắm thành phố NT về đêm rất đẹp, không gian trang trí sạch sẽ, sang trọng, thoáng mát, hiện đại. Thứ 3 có chương trình free cho nữ. Nhân viên hướng dẫn tận tình, dễ chịu, dễ thương. Nước uống, âm nhạc tạm được k xuất sắc lắm."
78,Góc Ăn Vặt 177 - Chu Mạnh Trinh,"Mình mới đến đây 2 lần, muốn ăn thử bánh căn nhưng chưa lần nào ăn được. Quán hơi nhỏ với nóng, thực đơn nhiều món, giá vừa phải. Bánh tráng nướng không ngon, trà đào nhạt toàn nước đá. Mochi nước ăn cũng ngon, hay hay, nên thử. Được cái anh chị chủ quán thân thiện, vui vẻ."
79,Salsa Express - Vincom Center Đà Nẵng,"Quán có view khá dễ thương,tông hồng chụp hình rất ok.kem ở đây khá ngon,có cái bánh gạo cay gia vị đơn giản nhưng đúng vị hàn,bánh gạo lắc phô mai cũng khá ngon.sẽ ghé dài dài 👍"
80,Ramyon Sarang - Mì Cay Hàn Quốc,Quá ngon !!! Ăn từ lúc quán ở chỗ cũ đến chỗ mới 🤤 lúc đầu thấy k bán chỗ đó nữa tưởng nghĩ ai ngờ đi ngang thấy đổi địa chỉ là vẫn bán mà mừng gì đâuuu 🤣
81,Hà Đô - Bún Thái Hải Sản - Đường Số 4,"Bún thái hải sản , vị ko khác j lẩu thái bán ngoài quán , mình thấy bán từng phần vậy tiện hơn ăn lẩu nhìu lắm lun , giá cả chất lượng món cũng hợp lí nữa , lâu lâu thèm vị lẩu ăn món này cũng dc"
82,Uchi Sushi,"Qua lời bạn bè giới thiệu mình có đến Uchi ăn thử
Đầu tiên là đường đến thì Uchi là một quán ăn khá nhỏ trên con đường 45 cắt với đường 41, chỗ cf của Linh Ngọc Đàm
Khá thú vị là nhà hàng tuy nhỏ nhưng lại có không gian ấm cúng khá phù hợp với nhóm 2-4 người
Món ăn ngon, mình đi 2 người order ăn o luôn chỉ 300 mấy tính ra 1 đầu người khoảng 200k thôi nhưng chất lượng, chuẩn vị
Các bạn phục vụ cũng rất nhiệt tình, lúc mình đến thì có mưa và vừa bước vào cửa thì các bạn đã đến đưa mình khăn giấy để lau
Sẽ quay lại"
83,Ngọc Ánh - Bún & Bánh Giò,"Ăn ở đây từ bé òi, quán phải có lịch sử hơn chục chục năm rồi ấy.
Hồi xưa ngon hơn nhiềuuu, nhưng bây giờ cũng vẫn ngon :((.
Nước mắm đậm đà, ngon dã man luôn ý.
Ở đây có thịt miếng, thịt băm và nem. Muốn ăn thịt miếng thì phải ra sớm vì thịt miếng đắt hàng cực ý :((.
Hôm đấy mình ra muộn nên phải ăn thịt băm, nhưng cũng vẫn ngon.
Có cô ngồi bên cạnh hết thịt băm mà cứ ngúng nguẩy đòi thịt miếng mà chủ quán không có, khổ! :((
Lúc nào thèm bún chả mình cũng chỉ nghĩ đến quán nè đầu tiên thui"
84,Opalus Cafe,"Món mình order là Xay sữa dừa trà xanh matcha. Vị của món này hài hoà, khá ổn. Có vị hơi đắng và thơm của trà xanh, vị dừa béo béo và vị thơm của sữa nữa. Món này trang trí cũng khá đẹp, mà vì ship về nên nhìn trong lý nhựa không rõ lắm. Ly nước chia ra 2 lớp, dưới cùng là một lớp mỏng màu xanh nhạt của trà xanh, bên trên là màu trắng của dừa xay với sữa đặc, trên cùng có rắt dừa khô."
85,Bánh Xèo Ngọc Ngân,"Cả nhà mình rất thích lại quán này ăn vì 3 món: bánh xèo, bánh chè nướng và cháo sò huyết. Hôm trước sau khi ăn cơm xong rồi mẹ lại muốn ăn cháo sò nên cả nhà lại đây ăn. Nồi cháo ở đây làm hao hao nồi lẩu, có nhiều rau lắm, có bông bí nữa. Sò huyết thì để riêng nên ai thích ăn sống ăn tái ăn chín gì cũng dễ làm. Nhà mình ăn cái lẩu nhỏ nhất, 150k, 3 người ăn khá no, tính ra không mắc lắm. Không gian quán rộng, phục vụ ok, đồ ăn cũng ra nhanh nữa."
86,Cô Bé Quán - Răng Mực & Tôm Nướng,"Răng mực ở đây ngon , đồ chua thấm vị , bà chủ thân thiện, mỗi lần mình hay mua 100-120k ăn thiệt là đã ."
87,Highlands Coffee - Citadine Nha Trang,"Quán siêu đông khách luôn, kín hết bàn. Giá cả và chất lượng nước thì cũng như ở các quán khác cùng hệ thống."
88,Quốc Sang - Xôi & Bánh Mì - Lê Lai,"Mỗi lần về vt là ăn xôi này
Hộp 15k mình thấy khá nhiều đồ ăn và vị đậm đà hơn những chỗ khác. Ko phải xếp hàng chờ đợi
Nhìn chung là ổn. Bánh mì cũng ok"
89,Phở Hữu,"Chắc là đông khách rồi nên có vẻ coi thường khách quá. Mình ăn ở quán cũng 3-4 năm rồi nhưng chủ yếu là order về. Ăn tại quán thì mình vẫn lâu lâu đi 1m, thấy thái độ và chất lượng cũng k đến mức phải phàn nàn. 
Nhưng qua 1 thời gian k ăn, nay ghé quán mua về thì thôi chán hẳn. Nv (toàn nam) cắm mặt vào đt, k thèm để ý khách đến. Ok thoi cũng k sao chắc do sơ ý, thế là mình bắt đầu gọi nv ngồi gần mình nhất (cách 1m), gọi 5 lần mà nv KHÔNG THÈM NHÌN MẶT MÌNH LUÔN :)) 
Xong tính đi về thì có nv ở trong quay lại thấy mình thì đứng dậy ra hỏi mình ăn gì. Mình đang gọi món thì nv hồi nãy lơ mình đứng dậy ra đứng bếp làm... Ô vậy là không điếc mà chẳng qua không thèm tiếp chuyện mình thôi :)) Lỡ rồi thoi mình cũng mua nốt lần này, cũng góp ý với ng thu tiền (chắc là chủ) cứ như vậy mất khách đó. Mà góp ý vậy thoi chứ có vẻ thấy cũng chủ nào tớ nấy.
Thời đại hàng quán cạnh tranh ntn thì thoi mình lượn nhẹ sang các quán lịch sự hơn vậy."
90,KOI Thé - Ngô Đức Kế,"Macchiato của Koi lun lun là the best 😍😍😍 kem béo béo ngọt ngọt k đâu lẫn đc , uống không cẩn thận là ghiền mất 😭😭😭
Mỗi điểm trừ là giá hơi mắc nhưng cái ly lại rất nhỏ so với mặt bằng chung của các hãng lớn . Các bạn có biết chỗ nào bán macchiato vị giống Koi k chứ mỗi lần mua là xót ví lắm 😢😢😢😢
Trân châu hoàng kim cũng ngon lắmmmmmmmmm luôn á , ly nhỏ thêm tc 5k ly lớn thêm tc là 7k"
91,No.77 - Bánh Hỏi Lòng Heo - Đặng Vũ Hỷ,"Mình đi ăn hai người gọi một phần bánh hỏi lòng heo 50k và bánh hỏi ba chỉ giòn da 40k như hình.
Bánh hỏi lòng heo cho rất nhiều lòng, hơi ít bánh hỏi, nước chấm vừa miệng.
Không gian thoáng nhưng hơi tối. Bàn ghế sạch sẽ lịch sự.
Chị chủ và nhân viên thân thiện nhiệt tình!
Sẽ quay lại lần nữa 🤗"
92,Cơm Ngon Mẹ Nấu - Cầu Diễn,"Chưa ăn lần nào nhưng thấy review nhiều nên đặt thử. k hảo chân gà lắm nhưng ăn thấy ngon, rủ ba ăn thử ba cũng khen ngon. Chân gà vừa, không quá to, mình thích chân gà nhỏ vừa, loại to quá ăn không ngon. Chân gà giòn giòn chua ngọt, thấm thịt đậm đà. Giá ở đây khá rẻ vì 1 túi chân gà mà 2 cha con ăn quá trời luôn. Nếu có ăn chân gà mình sẽ lại tiếp tục ủng hộ quán này"
93,Xôi Nóng & Bánh Mì Pate - La Thành,Quán bán cả đêm. Cũng rẻ. Chỗ này 20k. Hưng bảo bán 6h tối cho đến sáng. Có nhiều chỗ là thịt mỡ ăn ngấy. Vị bt.
94,Phở Thìn - Pasteur,"Thương hiệu phở Thìn tròn vị giữa lòng Đà Nẵng
Cảm nhận của em là nước dùng béo ngậy, đậm đà, thịt nhiều, em thì khi nào cũng phải làm thêm quả trứng chần cho ngọt nước nữa
Tô bình thường 60k
Tô đặc biệt 120k
Trứng chần 10k 
À có lần em thử phở sốt vang nhưng món này thì vẫn chưa được như mong đợi, 70k
Không gian rộng rãi, sạch sẽ
Nhân viên nhanh nhẹn, niềm nở"
95,Hủ Tiếu Liên Viên Viên - Hưng Đạo Vương,"Mình thường xuyên ghé quán mỗi khi thèm mì khô vì chỗ này thịt bằm cực kỳ ngon, ngon nhất là mì khô thịt bằm! Mình cũng hay dẫn bạn tới ăn và bạn mình lại thích mì hoành thánh nước! Sợi mì dai, nước lèo đậm đà! ai thèm xí quách cũng có thể tới tiệm mua ăn hay mang về nhậu cũng được ^^ ngon ngang ngửa mì Tàu Cao ở Đà Lạt )) ( dân Đà Lạt nói vậy )! Nói mì Liên Viên Viên thì chắc dân Biên Hoà ít ai biết vì tụi mình hay gọi quán này là ""Mì trong Ga"" ( quán nằm gần ga Bh)"
96,Baris Tea & Coffee House - Trần Hưng Đạo,"Nhân viên phục vụ rất nhiệt tình.
Không gian thoáng mát, view rất đẹp để sống ảo ))
Giá cả vừa phải
WC rất sạch sẽ."
97,Phúc Long Coffee & Tea - Vincom Plaza Trần Phú,"Đến Phúc Long mình chỉ thích gọi hồng trà sữa. Và uống bao nhiêu chi nhánh ở hcm rồi thì chi nhánh ở NT làm mình thất vọng nhất. Mình đã nhiều lần đặt món ở đây nhưng lần nào cũng làm mình thất vọng. Vị trà nhạt nhẽo, uống mà cảm giác như nước đá pha ít trà vậy. 
Chỉ riêng món hồng trà sữa là dở, còn đá xay thì mình uống thấy được."
98,"Phượng - Bún Chả, Bún Đậu Mắm Tôm - Nhất Chi Mai","Phần bún đặc biệt 50k và thịt thêm 27k, hình để thịt nướng nhưng giao thịt luộc."
99,Vườn Nhãn - Gà Đá & Các Món Ăn Đồng Quê,"Hôm qua đi ăn với nhóm, đc chị kia giới thiệu quán gà ở đây. Quán này bán lâu năm lắm rồi, khách đều là người giàu có. Nhóm tầm 10 người gọi 2 cái lẩu con gà hơn 2 ký với 2 phần ếch chiên nước mắm. Cái lẩu đem ra là thấy chất lượng liền. Gà mềm, ngon, nước lẩu ngon, có sắn, đậu phộng với đu đủ ăn lạ miệng. Ếch cũng dai ngon, nhưng chiên nước mắm mà mình thấy hơi lạt tí. Tổng chi phí bao gồm nước luôn có 800k hơn thôi. Giá quá rẻ."
100,Phố Cổ Hà Nội - Nem Chua Rán Số 1 - Ngô Thì Nhậm,"Hai người ăn chỉ 137k, quá rẻ và no. Tuy nhiên quá nên lắp thêm quạt nha :)) nóng quá ăn hổng ngon 😹"
101,Tạ Tuyết Ngân - Ăn Vặt & Trà Sữa,"Hơi thất vọng. Bánh giao tới ko giống như trong hình, ko hề ngập phô mai hay bơ tỏi như giới thiệu, bánh khá trắng nhách. Bánh mì thì ok nhưng vị giống bánh mì ngọt bình thường, chứ ko được nướng giòn như các tiệm khác"
102,Bean & Jam - Nguyễn Thái Học,Món đồ uống ở quán quá dở. Món trà đen machiato nhưng k thấy lớp machiato đâu. Nếu gọi món này ở một quán khác chắc chắn se ngon hơn.
103,Xing Fu Tang - Nguyễn Văn Linh,"Trà sữa ở đây thì ngon . Nhưng nhân viên thật kì lạ , ko biết mọi người thấy sao nhưng mình chẳng thích thái độ của họ tí nào . Lúc mình order thì có hai chị ra đứng ở chỗ tính tiền cứ cười với nhau anh đó cũng là nhân viên nói là cái gì mà cười quài vậy , mà vẫn cứ cười . Kiểu khinh người sao sao ý"
104,Trà Sữa Sweet Cup - Lê Hồng Phong,Đến mua trà sữa socola trân châu...về đến nhà phát hiện không có trân châu...quán làm ăn như cái ***
105,Cô Hằng Quán - Cháo Sườn & Cháo Trai - TT Trung Tự,"Đồ ăn cũng bình thường như bao hàng cháo khác
Đặc biệt thái độ phục vụ không thể chấp nhận được, trước mình ăn phục vụ cũng tốt mà giờ đông rồi nên chảnh, gọi cháo sườn nhưng cháo không làm gì có sườn?? Múc cháo để dây hết ra cặp lồng mình nhờ lau hộ thì chủ bảo ""giấy trên bàn tự đi mà lau"", mà bán thì đắt mua ba mươi nghìn việt nam đồng chưa được nửa cặp lồng múc ra chưa nổi 3 bát ăn cơm. Lần cuối cùng mình bước chân vào hàng này ạ."
106,"Ốc 5 Tầng - Ốc, Món Nhậu, Hải Sản Bình Dân","Quán đã dời sang đc mới, tìm mỏi mắt mới ra.
Đã ghé quán nhiều lần để ăn càng cúm rang me. Nhưng hôm nay ghé lại thì mùi vị k giống như trước nữa.
Càng cúm k được tươi. Rang me k ngon như mấy năm trước.
Ốc xào tỏi mà cũng có tí tỏi thôi.
Bàn bên trong nhà quá thấp, ăn ngồi cong cả lưng.
Sẽ k quay lại!!!"
107,Hiền Xù - Cơm Rang,Bán hàng sai còn bảo khách vứt đi xong thái độ đánh khách thì đóng cửa quán về học làm người đi đã nhé! Không thể chấp nhận được
108,Trà Sữa Bumba - Cát Bi,"Tôi không phải người đầu tiên nói về thái độ của nhân viên quán này. Nhân viên nữ ca chiều không biết bạn muốn nghỉ tết sớm nên thái độ với khách hay sao? Vào mua 1 cốc trà sữa chân châu vừa dứt lời bạn ấy bảo "" 30 nghìn ! "". Mình đã thấy bực rồi, lấy thì là trà sữa dâu. Quay lại hỏi thì b ấy bảo "" chị nghe là trà sữa dâu. "" ( mặt khó chịu rồi quay đi ) "" chị làm rồi em thông cảm nhé ! "" ( với cái kiểu nói cho mình đi) nhưng mình vẫn đổi vì mình không chấp nhận thái độ bán hàng đấy! "" lần sau em gọi đồ thì em nói to lên "" mình bảo "" em nói đủ nghe rồi"" thì b ấy vẫn đối lời "" nhưng e nói chị chả nghe thấy gì cả "". Không nghe thấy sao bạn ko hỏi lại ?? Lần đầu tiên bị gặp quả như này :))"
109,Lẩu Cá Đuối 68 Hoàng Minh,"Lúc vô thì nhiệt tình, lúc ra chả thấy con ma nào lại dắt xe dùm. Chưa kể tính tiền ăn gian bún + bánh có 2 tính tiền 3, ko đáng bao nhiêu nhưng ai cũng tính vậy chắc giàu, hèn chi mở lớn quá mà. Ai phát hiện đc thì kêu nhầm còn lại thì chủ or thu ngân bỏ túi. Mà dao thắc mắc là cái lẩu lại ko kèm bún với rau như chỗ khác nhỉ. Chẳng lẽ nếu đem có 200k thì chỉ húp nước lẩu và vài lát cá trên mặt lẩu thôi ah????"
110,Cafe Hoa Đồng Nội Nha Trang,"Sáng hôm nay (29/7/2019), mình cùng gia đình có đến đây để uống cf và dùng bữa sáng. Lúc đó quán rất ít khách, sau khi gọi món phở, bún và đợi đến hơn 30p vẫn chưa có, mình có hỏi bạn nhân viên 3-4 lần và luôn nhận đc phản hồi ""ráng đợi chút xíu"". Sau đó gđ mình đợi thêm 1 lúc nữa nhưng vẫn chưa thấy, trong khi lại sắp đến giờ lên chuyến bay rời nha trang, nên đành phải ôm bụng đói đi về. Mình cảm thấy rất thất vọng về chuyện này, mình đưa gđ đến vì có sự giới thiệu tốt đẹp của bạn bè nhưng nhận về cái bực trong người. Thật sự rất thất vọng."
111,Ghiền - The Drink & Fast Food - Phan Trung,"Quán cũng lớn mà có 1triệu mấy cũng giật rồi trốn người ta à, kì quá đi. Thà không có tiền nói 1 tiếng cho người ta biết người ta cho luôn, chứ im ỉm vậy người ta biết đường đâu mà mò. huhu. Trả tiền đi quán ơi. huhu"
112,Mỹ Hạnh - Hải Sản Tươi Sống,"Hải sản bình thường, giá cao. Đặc biệt nhân viên vô giáo dục, vô văn hoá.
Mình ghé quán do xem review thấy khen hải sản tươi. Ghé trước khi ra sân bay và order hai món mực một nắng nướng và cua hấp. 
Mực to, ngọt nhưng hơi dai. Cũng tạm được.
Cua thịt có 2 giá 600k và 750k, mình chọn con loại 600k, lúc tính tiền lại tính loại 750k. Tính sai so với đơn giá tại hồ mà lúc mình nhẹ nhàng hỏi lại thì nữ phục vụ ""cua làm gì có giá 600k"" rồi hất mặt thách thức ""chị lại hồ mà coi đi!"".
Mình kềm chế đi cùng phục vụ ra hồ xem, đối chiếu xong phục vụ miệng lầm bầm làu bàu kiểu chửi thầm khách. Nam nhân viên sửa lại bill tính tiền mà mặt mũi hậm hực, xé bill đưa khách như giang hồ.
Quán kiểu này làm xấu mặt Đà Nẵng!!!"
113,Zé Food - Thiên Đường Ăn Vặt Online,Thức ăn dỡ tệ
114,Ngọc Nhung - Sữa Chua Phô Mai & Bánh Flan,"Tầm 9h sáng 26.12.2020, Ba mình và mình lặn lội theo review đến đây thưởng thức yaourt vì nghe khen ngon. Vừa đến thì một tốp người ăn xong đi ra, ba mình và mình vào ngồi bàn đó. Không một ai đến hỏi gọi món. Mình phải tự vào trong quầy hỏi cô chủ quán là quán có menu không, và nhận được cái nạt nộ nói là quán này không có menu gì hết, tôi là cái menu đây, ra ngoài ngồi đi rồi lát tôi ra liền. Mình cũng hơi tự ái nhưng ráng nén để coi ăn ngon ko. Quay lại chỗ ngồi với ba mình thì cô chủ quán ra nói với giọng bề trên: ủa đi có 2 người thì tôi “YÊU CẦU” qua bàn kế bên (tự xách ghế qua) ngồi đi để bàn trống còn có người khác ngồi (bàn kia có 3 cô khác đang ngồi và ko có sẵn ghế dư nên mới đầu ba mình và mình mới ngồi ở bàn đây thôi). Cô không thể nói với giọng lịch sự hơn sao!???. Ba mình lớn tuổi hơn cô ấy nhiều mà giọng như là tụi mình đi ăn xin, mong dc ăn quán của cô lắm. Ba mình và mình đứng dậy đi luôn. Ko biết ngon ko mà thái độ phục vụ coi thường người khác còn lớn tuổi nữa thì thôi say goodbye. Mình ko có thiếu tiền để phải cố đấm nghe hạ nhục để ăn mấy hủ yaourt như vậy. Mình sẽ ko bao giờ quay trở lại!"
115,Crabby - Súp Cua - Shop Online,"Cua nhặt chưa hết vỏ . Ng lớn ăn k sao chứ trẻ con dễ hóc . 
Mình đặt sữa đậu nành thạch sương sáo mà lại giao cho mình sữa trân châu 
Rau thơm hơi héo 
Nhưng vị vẫn rất ok 
Nchung chấm 7/10"
116,Status - Tea & Coffee Express - Trưng Nhị,Đừng ai ghé chi nhánh Trần Hưng Đạo nếu không muốn trải nghiệm sự phục vụ hời hợt và vô trách nhiệm của lũ nhân viên nửa mùa.
117,Bún Chả Sinh Từ - Nguyễn Phong Sắc,"Bún chả 40k/1 suất cũngk phải là rẻ, chỉ nhiều hơn những quán 25k đến 30k là nhiều bún hơn thôi. Nước chấm nhạt, chả thì cũng bthuong ạ. Thực ra đến để thử vì bún chả cũng là món yêu thích của mình cũng vì cả cái tên 😁 nhưng không thích thái độ nhân viên tẹo nào. Được mỗi anh dắt xe là niềm nở. Vì lần đầu vào mình k biết phải oder trc tưởng nhân viên đến hỏi rồi đặt. Đến thấy mấy chị cười hô hố cả k thèm nhìn khách ngồi vêu mồm cũng k thấy mấy bà động cựa gì. Rồi mãi sau ny mình gọi đồ mới thấy gọi với vào rồi bê đồ ra. Đùa mới sáng ra thấy bực khủng khiếp như kiểu đến xin ăn ấy. 1 lần thôi chứ k bao giờ quay lại nữa. Nhân viên nhiều như vậy đến 2,3 ng khách còn phục vụ k xong nữa. Siêu thất vọng......"
